中文名	拉丁名	英文名	记录次数	定点记	随手记
水雉	Hydrophasianus chirurgus	Pheasant-tailed Jacana	4	4	0
中杓鹬	Numenius phaeopus	Whimbrel	13	13	0
白腰杓鹬	Numenius arquata	Eurasian Curlew	29	25	0
翻石鹬	Arenaria interpres	Ruddy Turnstone	15	15	0
大滨鹬	Calidris tenuirostris	Great Knot	10	10	0
红腹滨鹬	Calidris canutus	Red Knot	6	6	0
尖尾滨鹬	Calidris acuminata	Sharp-tailed Sandpiper	3	3	0
弯嘴滨鹬	Calidris ferruginea	Curlew Sandpiper	12	11	0
青脚滨鹬	Calidris temminckii	Temminck's Stint	11	11	0
铜翅水雉	Metopidius indicus	Bronze-winged Jacana	1	1	0
大杓鹬	Numenius madagascariensis	Far Eastern Curlew	4	3	0
斑尾塍鹬	Limosa lapponica	Bar-tailed Godwit	7	7	0
黑尾塍鹬	Limosa limosa	Black-tailed Godwit	5	5	0
流苏鹬	Calidris pugnax	Ruff	1	1	0
阔嘴鹬	Calidris falcinellus	Broad-billed Sandpiper	7	7	0
勺嘴鹬	Calidris pygmaea	Spoon-billed Sandpiper	7	6	0
红颈滨鹬	Calidris ruficollis	Red-necked Stint	19	18	0
三趾滨鹬	Calidris alba	Sanderling	4	4	0
长趾滨鹬	Calidris subminuta	Long-toed Stint	5	5	0
小滨鹬	Calidris minuta	Little Stint	2	2	0
黑腹滨鹬	Calidris alpina	Dunlin	28	24	1
长嘴半蹼鹬	Limnodromus scolopaceus	Long-billed Dowitcher	1	1	0
矶鹬	Actitis hypoleucos	Common Sandpiper	30	29	1
大沙锥	Gallinago megala	Swinhoe's Snipe	1	1	0
翘嘴鹬	Xenus cinereus	Terek Sandpiper	13	11	0
扇尾沙锥	Gallinago gallinago	Common Snipe	19	19	0
鹤鹬	Tringa erythropus	Spotted Redshank	12	12	0
白腰草鹬	Tringa ochropus	Green Sandpiper	13	13	0
灰尾漂鹬	Tringa brevipes	Grey-tailed Tattler	2	2	0
青脚鹬	Tringa nebularia	Common Greenshank	55	48	1
红脚鹬	Tringa totanus	Common Redshank	22	22	0
林鹬	Tringa glareola	Wood Sandpiper	18	18	0
泽鹬	Tringa stagnatilis	Marsh Sandpiper	14	13	0
普通燕鸻	Glareola maldivarum	Oriental Pratincole	5	5	0
棕头鸥	Chroicocephalus brunnicephalus	Brown-headed Gull	1	0	1
小青脚鹬	Tringa guttifer	Spotted Greenshank	3	3	0
灰燕鸻	Glareola lactea	Small Pratincole	2	2	0
红嘴鸥	Chroicocephalus ridibundus	Black-headed Gull	41	37	0
遗鸥	Ichthyaetus relictus	Relict Gull	1	1	0
黑嘴鸥	Saundersilarus saundersi	Saunders's Gull	17	15	0
小鸥	Hydrocoloeus minutus	Little Gull	1	1	0
普通海鸥	Larus canus	Mew Gull	5	5	0
渔鸥	Ichthyaetus ichthyaetus	Pallas's Gull	1	0	1
黑尾鸥	Larus crassirostris	Black-tailed Gull	8	8	0
北极鸥	Larus hyperboreus	Glaucous Gull	1	1	0
灰背鸥	Larus schistisagus	Slaty-backed Gull	2	2	0
鸥嘴噪鸥	Gelochelidon nilotica	Common Gull-billed Tern	7	6	0
红嘴巨燕鸥	Hydroprogne caspia	Caspian Tern	39	34	1
中华凤头燕鸥	Thalasseus bernsteini	Chinese Crested Tern	2	2	0
