	1104#	Minla ignotincta	火尾希鹛	Red-tailed Minla	LC	-
	1120#	Leioptila annectens	栗背奇鹛	Rufous-backed Sibia	LC	-
	-	Liocichla ripponi	红翅薮鹛	Scarlet-faced Liocichla	LC	-
	1036#	Garrulax canorus	画眉	Hwamei	LC	-
	1027#	Ianthocincla cineracea	灰翅噪鹛	Moustached Laughingthrush	LC	-
	1037#	Pterorhinus sannio	白颊噪鹛	White-browed Laughingthrush	LC	-
	1022#	Pterorhinus chinensis	黑喉噪鹛	Black-throated Laughingthrush	LC	-
	1084#	Pterorhinus lanceolatus	矛纹草鹛	Chinese Babax	LC	-
	雀形目	PASSERIFORMES	鸦雀科	Paradoxornithidae (15:33)		
	1145#	Sinosuthora webbiana	棕头鸦雀	Vinous-throated Parrotbill	LC	-
	1147#	Sinosuthora alphonsiana	灰喉鸦雀	Ashy-throated Parrotbill	LC	-
	1151#	Suthora nipalensis	橙额鸦雀	Black-throated Parrotbill	LC	-
	1152#	Suthora verreauxi	金色鸦雀	Golden Parrotbill	LC	-
	1155#	Psittiparus bakeri	红头鸦雀	Rufous-headed Parrotbill	LC	-
	1141#	Psittiparus gularis	灰头鸦雀	Grey-headed Parrotbill	LC	-
	1143#	Paradoxornis guttaticollis	点胸鸦雀	Spot-breasted Parrotbill	LC	-
	雀形目	PASSERIFORMES	绣眼鸟科	Zosteropidae (2:14)		
	1131#	Parayuhina diademata	白领凤鹛	White-collared Yuhina	LC	-
	-	Staphida torqueola	栗颈凤鹛	Chestnut-collared Yuhina	LC	-
	1129#	Yuhina flavicollis	黄颈凤鹛	Whiskered Yuhina	LC	-
	1134#	Yuhina nigrimenta	黑颏凤鹛	Black-chinned Yuhina	LC	-
	0923#	Zosterops erythropleurus	红胁绣眼鸟	Chestnut-flanked White-eye	LC	-
	0925#	Zosterops simplex	暗绿绣眼鸟	Swinhoe's White-eye	LC	-
	0924#	Zosterops palpebrosus	灰腹绣眼鸟	Indian White-eye	LC	-
	雀形目	PASSERIFORMES	䴓科	Sittidae (1:11)		
	0834#	Sitta cinnamoventris	栗腹䴓	Chestnut-bellied Nuthatch	LC	-
	0839#	Sitta frontalis	绒额䴓	Velvet-fronted Nuthatch	LC	-
	雀形目	PASSERIFORMES	椋鸟科	Sturnidae (10:19)		
	0829#	Acridotheres cristatellus	八哥	Crested Myna	LC	-
	0815#	Spodiopsar sericeus	丝光椋鸟	Red-billed Starling	LC	-
	0821#	Spodiopsar cineraceus	灰椋鸟	White-cheeked Starling	LC	-
	0823#	Gracupica nigricollis	黑领椋鸟	Black-collared Starling	LC	-
